job_id,status,priority,title,normalized_title,company,city,work_mode,source_url,input_file,overall_score,expertise_fit,tool_fit,domain_fit,growth_fit,interest_fit,practical_fit,risk_score,recommended_status,matched_terms,suggested_role_groups,hard_blockers,soft_risks,match_reason,user_notes,decision_reason,first_seen_at,last_seen_at,last_status_change_at,applied_at,cv_strategy_path,cv_draft_yaml_path,cv_draft_txt_path,mpya_cv_html_path
job_6297df9e32,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79405,job_6297df9e32.txt,79,100,100,100,72,60,95,15,keep,"DevOps, automotive","VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024",,Swedish may be preferred,"Score 79: matched explicit job terms (DevOps, automotive) against evidence in VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_7820f5715d,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests,job_7820f5715d.txt,79,100,100,100,72,60,95,15,keep,"Scrum, DevOps, automation","VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020",,Swedish may be preferred,"Score 79: matched explicit job terms (DevOps, Scrum, automation) against evidence in VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_cbeefc5098,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79327,job_cbeefc5098.txt,79,100,100,100,72,60,95,15,keep,automotive,VOLVO_2024_2026,,Swedish may be preferred,Score 79: matched explicit job terms (automotive) against evidence in VOLVO_2024_2026.,,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_f5dad4d4a2,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests?tab=all-jobs,job_f5dad4d4a2.txt,79,100,100,100,72,60,95,15,keep,"Scrum, DevOps, automation","VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020",,Swedish may be preferred,"Score 79: matched explicit job terms (DevOps, Scrum, automation) against evidence in VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_30065ec2e7,new,,Uppdragsannonser,Systems Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79391,job_30065ec2e7.txt,78,88,80,100,72,60,95,0,keep,"AUTOSAR, DevOps, validation, industrial","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 78: matched explicit job terms (AUTOSAR, DevOps, industrial, validation) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_f3a6757ddb,new,,Senior Embedded Developer,Embedded Software Engineer,,Gothenburg,unspecified,https://careers.egra.com/jobs/5706871-senior-embedded-developer,job_f3a6757ddb.txt,77,85,75,100,72,60,95,0,keep,"C++, C#, C, Agile, DevOps, embedded","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 77: matched explicit job terms (Agile, C, C#, C++, DevOps, embedded) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024.",,,2026-05-04T12:35:31+00:00,2026-05-04T13:16:23+00:00,2026-05-04T12:35:31+00:00,,,,,
job_1dda0eee7a,new,,Uppdragsannonser,Systems Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79243,job_1dda0eee7a.txt,76,80,100,50,72,67,95,0,keep,DevOps,"GE_2005_2020, ERICSSON_2021_2024, VOLVO_2024_2026",,,"Score 76: matched explicit job terms (DevOps) against evidence in GE_2005_2020, ERICSSON_2021_2024, VOLVO_2024_2026.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_5a1862c5f7,new,,Uppdragsannonser,Embedded Software Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79332,job_5a1862c5f7.txt,76,92,86,100,72,60,95,15,keep,"MATLAB, Simulink, SIL, testing, embedded, automotive","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,Swedish may be preferred,"Score 76: matched explicit job terms (MATLAB, SIL, Simulink, automotive, embedded, testing) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_12a6804069,new,,Uppdragsannonser,AI Engineering Enablement Lead,,Gothenburg,remote,https://app.verama.com/app/job-requests/79369,job_12a6804069.txt,75,80,67,100,72,60,95,0,keep,"root cause analysis, automation","VOLVO_2024_2026, ERICSSON_2021_2024, EQUINOX_2009",,,"Score 75: matched explicit job terms (automation, root cause analysis) against evidence in VOLVO_2024_2026, ERICSSON_2021_2024, EQUINOX_2009.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_b13460ab02,new,,Uppdragsannonser,Software Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests?filtersConfig=%7B%22id%22%3A17883%2C%22signature%22%3A%22DbbWDnf26FAEZPkT7X%2F%2FIFnVV3T1oEykfCopJvFSdeVjZEoaSMun01qr8hEfIeLDvXU0e9KdCn32Ui7x%2Bgbatw%22%2C%22name%22%3A%22Gothenburg%22%2C%22frequency%22%3A%22NEVER%22%2C%22location%22%3A%7B%22name%22%3A%22Gothenburg%2C%20Sweden%22%2C%22country%22%3A%22Sweden%22%2C%22city%22%3A%22Gothenburg%22%2C%22locationId%22%3A%22here%3Acm%3Anamedplace%3A20298983%22%2C%22countryCode%22%3A%22SWE%22%7D%2C%22radius%22%3A30000%2C%22remote%22%3A%5B%7B%22code%22%3A%22PARTIALLY_REMOTE%22%2C%22parameter%22%3Anull%7D%2C%7B%22code%22%3A%22NO_REMOTE%22%2C%22parameter%22%3Anull%7D%5D%2C%22skillRoleCategories%22%3A%5B%5D%2C%22dedicated%22%3Afalse%2C%22originIds%22%3A%5B%5D%2C%22favouritesOnly%22%3Afalse%2C%22recommendedOnly%22%3Afalse%2C%22languages%22%3A%5B%5D%2C%22skillIds%22%3A%5B%5D%2C%22skills%22%3A%5B%5D%2C%22level%22%3A%5B%5D%7D&tab=search-17883,job_b13460ab02.txt,75,80,67,100,72,60,95,0,keep,"DevOps, automotive","VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024",,,"Score 75: matched explicit job terms (DevOps, automotive) against evidence in VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_c0e3b52fea,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79318,job_c0e3b52fea.txt,71,80,67,100,72,60,95,15,keep,"CI/CD, DevOps, testing, industrial","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,Swedish may be preferred,"Score 71: matched explicit job terms (CI/CD, DevOps, industrial, testing) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_45a38e0559,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79319,job_45a38e0559.txt,70,77,62,100,72,60,95,15,keep,"CI/CD, DevOps, root cause analysis, automotive, distributed systems","VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020",,Swedish may be preferred,"Score 70: matched explicit job terms (CI/CD, DevOps, automotive, distributed systems, root cause analysis) against evidence in VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_9f1f221c9b,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests?filtersConfig=%7B%22recommendedOnly%22%3Atrue%7D&tab=recommended,job_9f1f221c9b.txt,67,70,50,100,72,60,95,15,maybe,"DevOps, embedded","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,Swedish may be preferred,"Score 67: matched explicit job terms (DevOps, embedded) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_bd7bbe844d,new,,Uppdragsannonser,Systems Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79317,job_bd7bbe844d.txt,67,60,67,50,72,60,95,0,maybe,"Agile, SAFe, DevOps, verification","VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024",,,"Score 67: matched explicit job terms (Agile, DevOps, SAFe, verification) against evidence in VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_1224248010,new,,Uppdragsannonser,Software Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79372,job_1224248010.txt,57,30,50,0,73,67,95,0,maybe,"CI/CD, testing","VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024",,,"Score 57: matched explicit job terms (CI/CD, testing) against evidence in VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024.",,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_d35f7a05f7,new,,Uppdragsannonser,Systems Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79237,job_d35f7a05f7.txt,52,20,0,50,72,67,95,0,reject,,,,,Score 52: limited explicit evidence matches found; review manually.,,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
job_97c760e141,new,,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests?filtersConfig=%7B%22favouritesOnly%22%3Atrue%7D&tab=my-saved-jobs,job_97c760e141.txt,51,20,0,50,72,60,95,0,reject,,,,,Score 51: limited explicit evidence matches found; review manually.,,,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,2026-05-04T13:16:23+00:00,,,,,
